timestamp,ft_x,ft_y,ft_z,ft_force_x,ft_force_y,ft_force_z,ft_wrench_force_x,ft_wrench_force_y,ft_wrench_force_z,ft_wrench_torque_x,ft_wrench_torque_y,ft_wrench_torque_z
1734523894.809482,0.0,0.0,0.0,-0.003499670000000066,0.01917800999999919,0.003916710000000823,-0.003499670000000066,0.01917800999999919,0.003916710000000823,-0.0002726899999999921,-0.00037298999999999666,-0.000479499999999522
1734523894.8220048,0.0,0.0,0.0,0.004577329999999935,-0.03400599000000071,0.024045710000001108,0.004577329999999935,-0.03400599000000071,0.024045710000001108,0.00017031000000000684,-0.0005479899999999982,-0.0012514999999995169
1734523894.8344896,0.0,0.0,0.0,0.001306329999999939,-0.06412299000000132,-0.007848289999999203,0.001306329999999939,-0.06412299000000132,-0.007848289999999203,-0.0017406899999999892,-0.0002749899999999958,-0.0010044999999995197
1734523894.8478713,0.0,0.0,0.0,0.01495232999999993,0.004205009999998843,0.004168710000000964,0.01495232999999993,0.004205009999998843,0.004168710000000964,0.0012303100000000122,-0.00026798999999999573,0.002198500000000436
1734523894.8594713,0.0,0.0,0.0,-0.011753670000000077,-0.02521799000000069,-0.010257289999998864,-0.011753670000000077,-0.02521799000000069,-0.010257289999998864,-0.0004296899999999826,7.010000000001737e-06,-0.0011004999999995047
1734523894.8719745,0.0,0.0,0.0,0.004475329999999916,-0.0015639900000010698,-0.010832289999998856,0.004475329999999916,-0.0015639900000010698,-0.010832289999998856,0.0001983100000000071,0.0004090100000000013,-0.0009144999999995962
1734523894.8845212,0.0,0.0,0.0,-0.01631567000000006,0.02072900999999927,-0.003794289999999201,-0.01631567000000006,0.02072900999999927,-0.003794289999999201,-0.0005646899999999788,0.0004340100000000055,7.050000000041745e-05
1734523894.8970122,0.0,0.0,0.0,-0.008475670000000074,-0.024976990000000754,-0.003241289999999175,-0.008475670000000074,-0.024976990000000754,-0.003241289999999175,0.0007443100000000258,-5.989999999997386e-06,-0.0007794999999996
1734523894.9094903,0.0,0.0,0.0,0.00028632999999991804,-0.025033990000000728,0.006533710000001136,0.00028632999999991804,-0.025033990000000728,0.006533710000001136,-3.068999999997213e-05,0.0001290100000000058,-0.0009054999999995594
1734523894.9219766,0.0,0.0,0.0,0.0033783299999999294,0.003566009999999231,0.0032017100000008014,0.0033783299999999294,0.003566009999999231,0.0032017100000008014,0.0014593100000000192,-0.0007979899999999984,0.0004465000000004604
1734523894.9344664,0.0,0.0,0.0,-0.00033267000000006264,0.01821900999999926,0.0007377100000010017,-0.00033267000000006264,0.01821900999999926,0.0007377100000010017,0.000778310000000032,-0.0009149899999999975,0.0006215000000004967
1734523894.9469748,0.0,0.0,0.0,-0.011855670000000068,0.004963009999999102,0.004249710000001183,-0.011855670000000068,0.004963009999999102,0.004249710000001183,-0.0002556899999999751,2.00100000000078e-05,-0.0008844999999995107
1734523894.959451,0.0,0.0,0.0,-0.008195670000000072,-0.047772990000001236,-0.017906289999999103,-0.008195670000000072,-0.047772990000001236,-0.017906289999999103,0.00012931000000002135,-1.0989999999995448e-05,-0.0007454999999995104
1734523894.9721036,0.0,0.0,0.0,0.0035983299999999274,-0.011131990000000869,0.012590710000000893,0.0035983299999999274,-0.011131990000000869,0.012590710000000893,3.231000000000761e-05,-0.00026398999999999867,0.001055500000000431
1734523894.9845085,0.0,0.0,0.0,-0.003879670000000085,0.021246009999998705,0.004165710000000988,-0.003879670000000085,0.021246009999998705,0.004165710000000988,0.0006103100000000306,0.0004180100000000034,-0.0012324999999995256
1734523894.9970076,0.0,0.0,0.0,-0.005816670000000079,0.15334600999999903,-0.019659289999998997,-0.005816670000000079,0.15334600999999903,-0.019659289999998997,-0.003611689999999973,-0.0006559899999999952,0.0018685000000004948
1734523895.0094833,0.0,0.0,0.0,-0.0038896700000000672,-0.024033990000001282,-0.0006632899999989839,-0.0038896700000000672,-0.024033990000001282,-0.0006632899999989839,0.0001113100000000311,0.0005300100000000044,-0.0012164999999995096
1734523895.021985,0.0,0.0,0.0,0.0048553299999999355,-0.0024209900000009554,-0.006313289999999139,0.0048553299999999355,-0.0024209900000009554,-0.006313289999999139,-0.0010666899999999813,0.0002860100000000032,-0.00017249999999957577
1734523895.0348103,0.0,0.0,0.0,-0.0006966700000000658,0.04040400999999871,-0.004684289999998814,-0.0006966700000000658,0.04040400999999871,-0.004684289999998814,0.0011533100000000185,-0.0011699899999999958,0.0013925000000004628
1734523895.0469716,0.0,0.0,0.0,-0.004072670000000084,-0.01753399000000133,0.013751710000001083,-0.004072670000000084,-0.01753399000000133,0.013751710000001083,6.131000000000886e-05,0.00013201000000000185,-0.0006204999999995797
1734523895.0594783,0.0,0.0,0.0,0.004278329999999914,0.005852009999999019,0.013296710000000989,0.004278329999999914,0.005852009999999019,0.013296710000000989,-0.00017368999999997636,0.0005450100000000055,-0.00034049999999952174
1734523895.0720026,0.0,0.0,0.0,0.0005533299999999353,0.013181009999999382,-0.003745289999999013,0.0005533299999999353,0.013181009999999382,-0.003745289999999013,-0.0005886899999999751,0.00042401000000000244,-0.0003814999999995905
1734523895.0845127,0.0,0.0,0.0,0.012756329999999927,0.013426009999998989,-0.001690289999999095,0.012756329999999927,0.013426009999998989,-0.001690289999999095,-0.0003646899999999731,0.0005510100000000046,-0.00015249999999955577
1734523895.0969796,0.0,0.0,0.0,0.008699329999999922,-0.0027169900000005853,0.0015507100000009544,0.008699329999999922,-0.0027169900000005853,0.0015507100000009544,0.0003383100000000083,-0.0001289899999999955,-0.000995499999999594
