timestamp,ft_x,ft_y,ft_z,ft_force_x,ft_force_y,ft_force_z,ft_wrench_force_x,ft_wrench_force_y,ft_wrench_force_z,ft_wrench_torque_x,ft_wrench_torque_y,ft_wrench_torque_z,opti_x,opti_y,opti_z,opti_orientation_x,opti_orientation_y,opti_orientation_z,opti_orientation_w
1734363459.822154,0.0,0.0,0.0,0.008597700000000041,0.02505235999999833,0.009037300000000137,0.008597700000000041,0.02505235999999833,0.009037300000000137,-0.00017569000000000612,8.055000000001256e-05,0.0007565400000000277,-0.3366497434920277,-0.045363403045183937,0.14820811252658328,-0.39445822422572907,0.8537189441149736,-0.2376045138336868,0.24312706308791773
1734363459.834618,0.0,0.0,0.0,-0.019634299999999966,-0.002838640000002002,-0.011046699999999854,-0.019634299999999966,-0.002838640000002002,-0.011046699999999854,-0.00014669000000000487,0.0008745500000000156,-0.0017564599999999597,-0.33387894815677277,-0.04637661024966455,0.1455913079665192,-0.3676538202301427,0.8689615874552501,-0.20867390942984998,0.2572773358084549
1734363459.8471594,0.0,0.0,0.0,0.01153770000000004,0.01686135999999827,0.0008313000000002013,0.01153770000000004,0.01686135999999827,0.0008313000000002013,0.0010343100000000105,-0.00033244999999998415,0.001999540000000022,-0.32924541241436467,-0.047060465249141537,0.1451058275531425,-0.3326788136091801,0.8816633370215903,-0.18605360567782606,0.27817013308732874
1734363459.8596482,0.0,0.0,0.0,0.01327270000000004,0.05551135999999879,-0.00766369999999994,0.01327270000000004,0.05551135999999879,-0.00766369999999994,0.00028231000000000783,-3.644999999999343e-05,-0.0001444600000000129,-0.3270635009779128,-0.04829940352446194,0.14254459165329858,-0.30713201412799546,0.8928742391025094,-0.17550420644080608,0.2786463575329469
1734363459.872151,0.0,0.0,0.0,-0.015335299999999968,0.00247235999999873,0.02016630000000008,-0.015335299999999968,0.00247235999999873,0.02016630000000008,-0.0013216899999999865,0.0002165500000000098,-0.0004964600000000319,-0.3201935291084461,-0.053059718039827786,0.14275746122689426,-0.2851796496583901,0.8964453151405745,-0.18851602536905684,0.28199303637197676
1734363459.8846538,0.0,0.0,0.0,-0.0028432999999999653,0.016960359999998786,-0.011907699999999855,-0.0028432999999999653,0.016960359999998786,-0.011907699999999855,-0.0006236899999999823,-0.0003104499999999899,-0.0004434599999999511,-0.32053951827542226,-0.06056880512354823,0.14032576745323033,-0.2628566554529498,0.9032073530629255,-0.21065273948293595,0.26598548720839493
1734363459.8971097,0.0,0.0,0.0,-0.012708299999999964,0.03263435999999764,0.00138830000000012,-0.012708299999999964,0.03263435999999764,0.00138830000000012,-1.5689999999984883e-05,9.255000000001068e-05,0.001655540000000011,-0.3124012730413639,-0.0642971706781097,0.14038568447715938,-0.27456222340032876,0.8925648739460865,-0.2430670138549622,0.2624156208283075
1734363459.9096622,0.0,0.0,0.0,-0.01963029999999996,-0.012009640000002264,-0.010925699999999816,-0.01963029999999996,-0.012009640000002264,-0.010925699999999816,7.231000000001986e-05,6.955000000001543e-05,-0.0016324599999999467,-0.30527418372173387,-0.06725608651641757,0.1423377736276774,-0.2894735425639558,0.8800241355460431,-0.26403630674003703,0.2684165004894341
1734363459.9221332,0.0,0.0,0.0,0.025521700000000036,0.023290359999998955,-0.0007096999999998133,0.025521700000000036,0.023290359999998955,-0.0007096999999998133,0.00012231000000001435,-0.0008574499999999957,0.0005775399999999875,-0.2984398775478445,-0.07174495926983049,0.1417921350291913,-0.31559485863277925,0.8641040837359467,-0.29263937713504773,0.2609333490097181
1734363459.9346695,0.0,0.0,0.0,-0.011068299999999962,-0.02679064000000153,0.01855730000000011,-0.011068299999999962,-0.02679064000000153,0.01855730000000011,-0.0006886899999999918,0.0004575500000000149,-0.001927459999999992,-0.29243270932065646,-0.07446318108419536,0.1408852473842892,-0.33694737716520184,0.8524251500678964,-0.30423928311482346,0.25937672826025393
1734363459.9471369,0.0,0.0,0.0,0.005960700000000041,-0.026421640000002355,-0.0054106999999998795,0.005960700000000041,-0.026421640000002355,-0.0054106999999998795,0.0001013100000000211,0.00031755000000001365,-0.00320745999999994,-0.2893506007028095,-0.07477842326214912,0.13640457227371616,-0.3492875638012042,0.8515024032788611,-0.29995051616485385,0.250941313530836
1734363459.9596474,0.0,0.0,0.0,-0.004025299999999968,0.03999635999999818,0.006589300000000131,-0.004025299999999968,0.03999635999999818,0.006589300000000131,3.431000000000961e-05,-4.0449999999983555e-05,0.001035540000000057,-0.28445343833586456,-0.07646319013029945,0.1335775422393577,-0.3390040549970953,0.8570092246205473,-0.29699110243508176,0.2498153812022178
1734363459.9723637,0.0,0.0,0.0,-0.008017299999999963,-0.020884640000002008,0.004685300000000225,-0.008017299999999963,-0.020884640000002008,0.004685300000000225,-0.00042469000000000534,-0.0002034499999999939,0.0005885399999999708,-0.27710079816138955,-0.07875182882549936,0.1332952574178512,-0.32412473327185615,0.8593743194005229,-0.29678667054359986,0.26141271702803764
1734363459.984671,0.0,0.0,0.0,-0.020324299999999962,0.0020223599999980024,-0.002386699999999742,-0.020324299999999962,0.0020223599999980024,-0.002386699999999742,-0.0002676899999999871,-0.0001854499999999898,0.0003705400000000303,-0.27429968585705433,-0.07962169798548047,0.1284996411294197,-0.2974506212807106,0.8753454365925161,-0.2800146264587246,0.2586219316020155
