timestamp,ft_x,ft_y,ft_z,ft_force_x,ft_force_y,ft_force_z,ft_wrench_force_x,ft_wrench_force_y,ft_wrench_force_z,ft_wrench_torque_x,ft_wrench_torque_y,ft_wrench_torque_z,opti_x,opti_y,opti_z,opti_orientation_x,opti_orientation_y,opti_orientation_z,opti_orientation_w
1734365712.0630686,0.0,0.0,0.0,-0.0013330200000000736,-0.03998835000000156,0.00743255999999981,-0.0013330200000000736,-0.03998835000000156,0.00743255999999981,0.000169769999999958,-0.00032943999999995865,-7.85899999999895e-05,-0.9164907626310735,-0.06455343809397718,-0.5295219569360183,0.8198204725102056,0.29473838142160336,0.47422797430461844,0.12700987267553135
1734365712.0753758,0.0,0.0,0.0,0.016296979999999905,0.006026649999999023,-0.007578440000000075,0.016296979999999905,0.006026649999999023,-0.007578440000000075,-0.0009072300000000366,0.0001035600000000303,-0.00025158999999996823,-0.8865305474763591,-0.07330064123835012,-0.5238224022487055,0.8200672785281725,0.26013268061983474,0.49025436857015303,0.1395396046246955
1734365712.087855,0.0,0.0,0.0,-0.022263020000000078,-0.002282350000001543,0.0295585599999999,-0.022263020000000078,-0.002282350000001543,0.0295585599999999,0.00024676999999995175,-0.0003054399999999624,0.00023941000000005097,-0.8656340366658423,-0.08193766621060394,-0.5233857607334524,0.8239859261871497,0.24074349377906212,0.48983430579543,0.1521581956861512
1734365712.1003568,0.0,0.0,0.0,0.0026139799999999325,0.08617364999999921,0.008529559999999936,0.0026139799999999325,0.08617364999999921,0.008529559999999936,-0.003536230000000057,-0.0010204399999999697,-0.0015175899999999576,-0.8399395534953106,-0.0884957086389484,-0.5185042407865161,0.8111246762429727,0.23257126479539914,0.5116613075793662,0.16183347214768112
1734365712.112889,0.0,0.0,0.0,-0.022123020000000077,-0.016590350000001308,0.0148485599999999,-0.022123020000000077,-0.016590350000001308,0.0148485599999999,-0.0001472300000000537,9.156000000003217e-05,0.00014941000000001647,-0.8156990180857416,-0.10116304534214704,-0.5172952384410339,0.8077713437371018,0.21293122430893865,0.5213658742028431,0.17419349921325675
1734365712.1253967,0.0,0.0,0.0,-0.02111102000000009,-0.037544350000001,-0.008557440000000138,-0.02111102000000009,-0.037544350000001,-0.008557440000000138,-0.0006432300000000502,0.000752560000000041,-0.0016935899999999116,-0.789423213038369,-0.11053710361531177,-0.5129130958878143,0.7925306811288628,0.2026172271070585,0.5453857828939417,0.18274497685580765
1734365712.1383672,0.0,0.0,0.0,0.0025959799999999145,-0.01627335000000052,-0.005568440000000008,0.0025959799999999145,-0.01627335000000052,-0.005568440000000008,1.076999999996553e-05,0.00021956000000003528,0.0006624100000000022,-0.7563819904919532,-0.12655418109669458,-0.510586082901809,0.7765250705316721,0.18618238483600932,0.5682902491676437,0.19847198067620303
1734365712.1503704,0.0,0.0,0.0,-0.008728020000000086,-0.024097350000001683,0.00809555999999989,-0.008728020000000086,-0.024097350000001683,0.00809555999999989,-0.0006842300000000356,8.856000000004305e-05,-0.0009995899999999391,-0.7395821712821365,-0.13474093287608602,-0.5086685266059439,0.7664769274356078,0.1739878758270186,0.5848128057551972,0.20058743978326757
1734365712.1628804,0.0,0.0,0.0,0.0031659799999999294,-0.0004893500000004991,-0.015055440000000031,0.0031659799999999294,-0.0004893500000004991,-0.015055440000000031,-0.00031923000000003143,0.0004995600000000378,4.840999999999873e-05,-0.7149569478460783,-0.1452889913895108,-0.5068680268520422,0.7523470510713893,0.16251309210212553,0.6063565419285484,0.19973771226296463
1734365712.1753907,0.0,0.0,0.0,-0.006202020000000086,-0.02384935000000077,0.009153559999999894,-0.006202020000000086,-0.02384935000000077,0.009153559999999894,0.00041576999999995423,0.00021056000000004016,0.0008564100000000296,-0.6836928770538252,-0.1634660790550102,-0.5027627347340538,0.7330232362251395,0.14494868816718348,0.6303447831746422,0.21055229107551732
